Age,min_pace,max_pace,mean_pace,median_pace
18,0 days 00:03:57.985166626,0 days 00:08:36.980831941,0 days 00:06:03.532213806,0 days 00:06:03.812833054
19,0 days 00:03:29.402091783,0 days 00:10:03.972798854,0 days 00:05:42.502522494,0 days 00:05:25.598504732
20,0 days 00:03:22.567008669,0 days 00:08:34.495347172,0 days 00:05:29.140791263,0 days 00:05:19.384792809
21,0 days 00:03:08.896842440,0 days 00:08:34.495347172,0 days 00:05:31.695312462,0 days 00:05:18.142050425
22,0 days 00:03:30.023462976,0 days 00:08:34.495347172,0 days 00:05:33.528300289,0 days 00:05:21.870277578
23,0 days 00:03:13.246440785,0 days 00:08:36.359460749,0 days 00:05:25.140581179,0 days 00:05:11.928338503
24,0 days 00:03:04.547244094,0 days 00:09:34.768352819,0 days 00:05:27.856646927,0 days 00:05:10.685596118
25,0 days 00:03:03.925872902,0 days 00:10:21.371192237,0 days 00:05:22.360833782,0 days 00:05:07.578740157
26,0 days 00:03:10.139584824,0 days 00:08:42.573172671,0 days 00:05:20.526457843,0 days 00:05:05.714626580
27,0 days 00:03:10.139584824,0 days 00:08:51.272369362,0 days 00:05:21.985346317,0 days 00:05:07.578740157
28,0 days 00:03:06.411357671,0 days 00:08:38.844945518,0 days 00:05:19.164591300,0 days 00:05:04.471884196
29,0 days 00:03:05.789986478,0 days 00:08:37.602203133,0 days 00:05:22.636396309,0 days 00:05:07.578740157
30,0 days 00:03:05.168615286,0 days 00:09:46.574405472,0 days 00:05:19.196936402,0 days 00:05:05.093255388
31,0 days 00:03:08.896842440,0 days 00:09:34.768352819,0 days 00:05:19.073234010,0 days 00:05:04.471884196
32,0 days 00:03:06.411357671,0 days 00:09:39.117951165,0 days 00:05:18.688180261,0 days 00:05:03.850513004
33,0 days 00:03:09.518213632,0 days 00:09:26.069156128,0 days 00:05:19.267226940,0 days 00:05:04.471884196
34,0 days 00:03:16.353296746,0 days 00:08:38.844945518,0 days 00:05:17.654436812,0 days 00:05:05.093255388
35,0 days 00:03:26.916607015,0 days 00:15:13.415652588,0 days 00:05:18.165815803,0 days 00:05:06.335997773
36,0 days 00:03:23.809751053,0 days 00:08:43.194543863,0 days 00:05:18.468923479,0 days 00:05:08.200111349
37,0 days 00:03:21.945637477,0 days 00:09:58.380458124,0 days 00:05:18.679117935,0 days 00:05:08.200111349
38,0 days 00:03:31.266205360,0 days 00:08:50.029626978,0 days 00:05:21.074583734,0 days 00:05:10.064224926
39,0 days 00:03:08.896842440,0 days 00:11:56.440984649,0 days 00:05:23.563447533,0 days 00:05:10.685596118
40,0 days 00:03:08.896842440,0 days 00:08:56.864710093,0 days 00:05:22.500739790,0 days 00:05:14.413823272
41,0 days 00:03:15.110554362,0 days 00:08:41.951801479,0 days 00:05:24.648260254,0 days 00:05:15.656565656
42,0 days 00:03:17.596039131,0 days 00:08:45.680028632,0 days 00:05:24.401333142,0 days 00:05:16.277936848
43,0 days 00:03:28.159349399,0 days 00:10:29.449017736,0 days 00:05:25.373274820,0 days 00:05:15.656565656
44,0 days 00:03:39.344030859,0 days 00:09:26.690527320,0 days 00:05:26.732748936,0 days 00:05:17.520679233
45,0 days 00:03:26.916607015,0 days 00:09:09.913505130,0 days 00:05:28.865311930,0 days 00:05:23.113019963
46,0 days 00:03:26.295235822,0 days 00:11:05.488546886,0 days 00:05:28.599038541,0 days 00:05:21.248906386
47,0 days 00:03:41.829515628,0 days 00:12:18.188976377,0 days 00:05:31.135633992,0 days 00:05:23.113019963
48,0 days 00:03:30.023462976,0 days 00:11:20.401455499,0 days 00:05:31.945387116,0 days 00:05:24.977133540
49,0 days 00:03:52.392825896,0 days 00:09:38.496579972,0 days 00:05:35.268247507,0 days 00:05:26.219875924
50,0 days 00:03:47.421856358,0 days 00:09:03.699793207,0 days 00:05:38.443824334,0 days 00:05:29.948103078
51,0 days 00:03:49.285969935,0 days 00:08:53.136482939,0 days 00:05:36.887918248,0 days 00:05:29.326731885
52,0 days 00:03:54.878310665,0 days 00:09:55.894973355,0 days 00:05:38.508215647,0 days 00:05:30.569474270
53,0 days 00:03:34.994432514,0 days 00:11:23.508311461,0 days 00:05:38.821858381,0 days 00:05:29.637417481
54,0 days 00:03:58.606537819,0 days 00:08:43.194543863,0 days 00:05:44.455147465,0 days 00:05:33.676330231
55,0 days 00:03:59.227909011,0 days 00:08:56.243338900,0 days 00:05:45.205031262,0 days 00:05:37.404557384
56,0 days 00:03:54.878310665,0 days 00:09:24.826413743,0 days 00:05:46.968912908,0 days 00:05:38.025928577
57,0 days 00:04:02.956136164,0 days 00:10:25.720790582,0 days 00:05:49.875433760,0 days 00:05:41.132784538
58,0 days 00:04:08.548476894,0 days 00:09:53.409488586,0 days 00:05:53.001331419,0 days 00:05:42.996898115
59,0 days 00:04:04.820249741,0 days 00:08:38.223574325,0 days 00:05:56.665487259,0 days 00:05:47.967867652
60,0 days 00:03:56.121053050,0 days 00:09:14.884474667,0 days 00:06:04.244353736,0 days 00:05:57.909806728
61,0 days 00:04:18.490415970,0 days 00:11:10.459516424,0 days 00:06:02.323397987,0 days 00:05:56.667064344
