Country,count,proportion
USA,64474,81.0
CAN,6171,7.7
GBR,1072,1.3
MEX,768,1.0
GER,573,0.7
JPN,491,0.6
AUS,475,0.6
ITA,474,0.6
CHN,430,0.5
BRA,428,0.5
FRA,317,0.4
ESP,275,0.3
KOR,265,0.3
HKG,247,0.3
IRL,240,0.3
SUI,221,0.3
NED,219,0.3
SWE,206,0.3
COL,174,0.2
CHI,167,0.2
DEN,167,0.2
CRC,109,0.1
BEL,106,0.1
NOR,101,0.1
TWN,98,0.1
ARG,79,0.1
NZL,79,0.1
POL,76,0.1
SIN,74,0.1
AUT,70,0.1
GUA,70,0.1
RSA,65,0.1
FIN,63,0.1
RUS,59,0.1
PER,58,0.1
ISL,51,0.1
POR,36,0.0
IND,35,0.0
ISR,31,0.0
SVK,30,0.0
BER,27,0.0
VEN,26,0.0
ETH,26,0.0
KEN,25,0.0
CZE,25,0.0
PHI,21,0.0
TPE,21,0.0
PAN,20,0.0
ECU,20,0.0
SLO,18,0.0
DOM,17,0.0
UAE,17,0.0
MAS,16,0.0
MAR,15,0.0
ESA,14,0.0
GRE,13,0.0
EST,13,0.0
INA,11,0.0
CAY,11,0.0
CRO,10,0.0
LUX,9,0.0
URU,9,0.0
LTU,9,0.0
UKR,8,0.0
TUR,8,0.0
TRI,6,0.0
ROU,6,0.0
LAT,6,0.0
THA,5,0.0
HON,5,0.0
HUN,5,0.0
BAR,4,0.0
AND,3,0.0
SRB,3,0.0
JAM,3,0.0
BAH,2,0.0
ALG,2,0.0
ZIM,2,0.0
VGB,2,0.0
FLK,2,0.0
UGA,2,0.0
VIE,2,0.0
EGY,2,0.0
GRN,2,0.0
NGR,1,0.0
MGL,1,0.0
KUW,1,0.0
AHO,1,0.0
QAT,1,0.0
TCA,1,0.0
PAR,1,0.0
OMA,1,0.0
BRN,1,0.0
ALB,1,0.0
JOR,1,0.0
CYP,1,0.0
NCA,1,0.0
BUL,1,0.0
SMR,1,0.0
KSA,1,0.0
MLT,1,0.0
BDI,1,0.0
BLR,1,0.0
LIE,1,0.0
PAK,1,0.0
