Country,count,proportion
USA,31084,85.97
CAN,2672,7.39
GBR,365,1.01
MEX,258,0.71
AUS,181,0.5
GER,136,0.38
JPN,134,0.37
BRA,123,0.34
CHN,123,0.34
ITA,96,0.27
IRL,77,0.21
HKG,67,0.19
FRA,62,0.17
NED,50,0.14
CHI,44,0.12
SUI,41,0.11
CRC,37,0.1
KOR,37,0.1
SWE,36,0.1
COL,32,0.09
GUA,32,0.09
DEN,32,0.09
NZL,28,0.08
NOR,27,0.07
ARG,25,0.07
ESP,24,0.07
BEL,24,0.07
RSA,20,0.06
TWN,18,0.05
ISL,16,0.04
AUT,16,0.04
ETH,16,0.04
SIN,15,0.04
RUS,15,0.04
PER,14,0.04
IND,13,0.04
KEN,11,0.03
POL,11,0.03
BER,10,0.03
PHI,9,0.02
FIN,9,0.02
DOM,8,0.02
VEN,8,0.02
ESA,6,0.02
SLO,6,0.02
TRI,5,0.01
UAE,5,0.01
POR,5,0.01
CAY,4,0.01
BAR,4,0.01
ECU,4,0.01
EST,4,0.01
SVK,4,0.01
TPE,4,0.01
ISR,3,0.01
URU,3,0.01
MAS,3,0.01
CZE,3,0.01
INA,3,0.01
PAN,3,0.01
HUN,2,0.01
UKR,2,0.01
THA,2,0.01
LTU,2,0.01
LUX,2,0.01
HON,2,0.01
VGB,2,0.01
CRO,2,0.01
LAT,2,0.01
KUW,1,0.0
UGA,1,0.0
BLR,1,0.0
EGY,1,0.0
GRE,1,0.0
MGL,1,0.0
BDI,1,0.0
OMA,1,0.0
TUR,1,0.0
GRN,1,0.0
BRN,1,0.0
NCA,1,0.0
MAR,1,0.0
